id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
30774788,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,28.80,$999.00 ,Entire home/apt,2,3,4
18812151,Australia,,BYRON SHIRE COUNCIL,Apartment,30.28,$816.00 ,Entire home/apt,2,2,2
10252168,Australia,NSW,BYRON SHIRE COUNCIL,House,29.40,"$1,000.00 ",Entire home/apt,1,3,6
21477530,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,27.40,$766.00 ,Entire home/apt,1.5,2,2
11088697,Australia,NSW,BYRON SHIRE COUNCIL,House,30.01,$820.00 ,Entire home/apt,1,1,1
3416210,Australia,NSW,BYRON SHIRE COUNCIL,House,29.14,$821.00 ,Entire home/apt,3,2,3
550619,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,29.44,$770.00 ,Entire home/apt,2,2,5
33943299,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.97,"$1,251.00 ",Entire home/apt,2,2,3
7136717,Australia,NSW,BYRON SHIRE COUNCIL,Guest suite,28.89,$679.00 ,Entire home/apt,1,1,1
29806693,Australia,NSW,BYRON SHIRE COUNCIL,House,30.99,"$1,350.00 ",Entire home/apt,1,2,3
30825806,Australia,NSW,BYRON SHIRE COUNCIL,House,29.74,"$1,350.00 ",Entire home/apt,1,2,3
21463413,Australia,NSW,BYRON SHIRE COUNCIL,House,32.56,"$1,350.00 ",Entire home/apt,1,4,4
28612040,Australia,NSW,BYRON SHIRE COUNCIL,House,30.62,$880.00 ,Entire home/apt,4,4,4
18950056,Australia,NSW,BYRON SHIRE COUNCIL,House,28.04,$680.00 ,Entire home/apt,2,3,4
999432,Australia,NSW,BYRON SHIRE COUNCIL,House,31.24,"$1,010.00 ",Entire home/apt,1.5,3,4
16057486,Australia,NSW,BYRON SHIRE COUNCIL,House,31.91,"$1,169.00 ",Entire home/apt,1.5,3,3
2263422,Australia,NSW,BYRON SHIRE COUNCIL,House,27.76,$728.00 ,Entire home/apt,1,3,4
31460920,Australia,NSW,BYRON SHIRE COUNCIL,House,29.18,$949.00 ,Entire home/apt,1,3,12
4496193,Australia,NSW,BYRON SHIRE COUNCIL,House,29.47,$949.00 ,Entire home/apt,1.5,4,7
5826076,Australia,New South Wales,BYRON SHIRE COUNCIL,House,28.29,$950.00 ,Entire home/apt,2,3,4
588008,Australia,NSW,BYRON SHIRE COUNCIL,Guesthouse,27.49,$730.00 ,Entire home/apt,1,1,1
18096834,Australia,NSW,BYRON SHIRE COUNCIL,House,28.05,$780.00 ,Entire home/apt,1.5,3,2
17238744,Australia,NSW,BYRON SHIRE COUNCIL,House,28.92,$780.00 ,Entire home/apt,1,3,3
3655690,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,31.67,"$1,367.00 ",Entire home/apt,3,3,3
21058960,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,31.66,"$1,270.00 ",Entire home/apt,2,0,3
19597450,Australia,NSW,BYRON SHIRE COUNCIL,House,29.80,$782.00 ,Entire home/apt,1,2,4
23587820,Australia,NSW,BYRON SHIRE COUNCIL,Guest suite,28.37,$734.00 ,Entire home/apt,1,0,1
1733550,Australia,NSW,BYRON SHIRE COUNCIL,House,30.41,"$1,100.00 ",Entire home/apt,2,5,7
32223203,Australia,NSW,BYRON SHIRE COUNCIL,House,31.02,"$1,100.00 ",Entire home/apt,1.5,4,5
