ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_DAPI,Intensity_IntegratedIntensityEdge_PI,Intensity_IntegratedIntensity_DAPI,Intensity_IntegratedIntensity_PI,Intensity_LowerQuartileIntensity_DAPI,Intensity_LowerQuartileIntensity_PI,Intensity_MADIntensity_DAPI,Intensity_MADIntensity_PI,Intensity_MassDisplacement_DAPI,Intensity_MassDisplacement_PI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensityEdge_PI,Intensity_MaxIntensity_DAPI,Intensity_MaxIntensity_PI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensityEdge_PI,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_PI,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_PI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensityEdge_PI,Intensity_MinIntensity_DAPI,Intensity_MinIntensity_PI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensityEdge_PI,Intensity_StdIntensity_DAPI,Intensity_StdIntensity_PI,Intensity_UpperQuartileIntensity_DAPI,Intensity_UpperQuartileIntensity_PI,Number_Object_Number
1,1,5.0669871158897877,4.5045853666961193,63.661448061466217,26.980834767222404,0.060006102547049522,0.035172045230865479,0.019913025200366974,0.0010070949792861938,0.36598917289796951,0.071353461687580957,0.056656748056411743,0.039337757974863052,0.14821088314056396,0.042130161076784134,0.040214183459442762,0.035750677513461261,0.085337061744592782,0.036167338830056843,0.092347599565982819,0.036133363842964172,0.0318150594830513,0.031387809664011002,0.0318150594830513,0.031387809664011002,0.005757129073161134,0.0015658643963440424,0.029094370054155234,0.0015067162330117153,0.10788128525018692,0.037224384024739265,1
1,2,4.4616159219294786,3.7583123575896025,52.943388929590583,20.978957893326879,0.055275807157158852,0.033928435295820236,0.033432513475418091,0.0016937516629695892,0.48291320157055967,0.12783554100117867,0.054535742849111557,0.038635842502117157,0.15732051432132721,0.040787365287542343,0.039136981771311218,0.032967652259557917,0.089130284393250145,0.035318110931526731,0.090577557682991028,0.035614557564258575,0.029816128313541412,0.028015565127134323,0.029816128313541412,0.027481498196721077,0.0056200592597568143,0.0024640733689533984,0.036907669271658811,0.0025930620260744691,0.12182040140032768,0.037315938621759415,2
1,3,4.8383459523320198,2.8105439990758896,31.127336613833904,12.375783957540989,0.064606696367263794,0.03009842149913311,0.014518961310386658,0.00099183619022369385,0.31634585455172481,0.10579135267846165,0.068131536245346069,0.034424353390932083,0.12069886177778244,0.035324636846780777,0.052590716873174126,0.030549391294303146,0.078406389455501019,0.031173259338894178,0.079522393643856049,0.031082628294825554,0.038941025733947754,0.027512015774846077,0.038941025733947754,0.027512015774846077,0.0075790348468246661,0.0015656911413344473,0.019099394735019818,0.0014673464552052674,0.092366673052310944,0.032089721411466599,3
1,4,3.2358282078057528,3.3063706457614899,38.797894382849336,18.318379547446966,0.040070192888379097,0.032623790204524994,0.028778515756130219,0.00097657740116119385,0.46903897335233791,0.14496163411336874,0.043869689106941223,0.036102846264839172,0.13351644575595856,0.036926832050085068,0.031723805958879928,0.032415398487857745,0.07105841462060318,0.03355014569129481,0.072861827909946442,0.033615626394748688,0.026749065145850182,0.028747998178005219,0.026749065145850182,0.028747998178005219,0.0030961058338762411,0.0014834918851667806,0.030482269572356134,0.0014417658586447257,0.096673533320426941,0.034584574401378632,4
1,5,3.9673914760351181,3.2233005277812481,37.443106774240732,15.36977188847959,0.05635156761854887,0.032898452132940292,0.027031358331441879,0.0014038290828466415,0.18550852246278163,0.1483257408872741,0.055924315005540848,0.038834210485219955,0.1427328884601593,0.038834210485219955,0.04132699454203248,0.033576047164388001,0.083392219987173125,0.034231117791714012,0.085503928363323212,0.034493017941713333,0.0317082479596138,0.028244448825716972,0.0317082479596138,0.028152896091341972,0.0057726209922242255,0.0026502728177892339,0.030331478280364029,0.0021179634677776791,0.11089494079351425,0.03567177802324295,5
1,6,3.6425879541784525,3.4051423091441393,41.364141331985593,16.970336502417922,0.044754710048437119,0.032547492533922195,0.034653238952159882,0.0011902041733264923,0.14579796000162673,0.21514683224597311,0.049973297864198685,0.037537194788455963,0.16533149778842926,0.038788434118032455,0.035711646609592675,0.033383748128864112,0.082398687912321897,0.033805451200035704,0.082093536853790283,0.033707179129123688,0.028625926002860069,0.030655374750494957,0.028625926002860069,0.029587242752313614,0.0046442615933321987,0.0017918314050381135,0.037384313631783558,0.0016836488501054828,0.11385519057512283,0.03494315966963768,6
1,7,4.3167925700545311,4.4771801270544529,31.367925617843866,23.820431884378195,0.04135194793343544,0.03489738330245018,0.00625620037317276,0.00086976587772369385,0.3618454982552276,0.10504311935802572,0.054612040519714355,0.039597161114215851,0.070389866828918457,0.040161747485399246,0.034812843306891376,0.036106291347213333,0.047098987414179977,0.035766414240808099,0.048294804990291595,0.035721369087696075,0.026077669113874435,0.032562751322984695,0.026077669113874435,0.032166019082069397,0.0070466617574423884,0.0013222156330695873,0.0090350813717925051,0.0012898547487189939,0.05388723686337471,0.036652170121669769,7
1,8,4.8670023865997791,4.0651713088154793,76.837522067129612,25.455008866265416,0.06022736057639122,0.033768214285373688,0.044174864888191223,0.0018005669116973877,0.74600479913597173,0.30737693943282196,0.059983216226100922,0.040894180536270142,0.20984207093715668,0.04129091277718544,0.040558353221664824,0.033876427573462327,0.10731497495409163,0.035551688360705887,0.10664530098438263,0.035446707159280777,0.031448844820261002,0.027161059901118279,0.031448844820261002,0.027161059901118279,0.0060604299609607875,0.0029041121304865616,0.04977656592809282,0.0024417951018137177,0.14953841269016266,0.037415120750665665,8
1,9,3.6291905343532562,3.6438086554408073,38.937819566577673,19.525383472442627,0.049370564520359039,0.033718623220920563,0.016052490100264549,0.00093079730868339539,0.10870518866137292,0.099419266701096784,0.049042496830224991,0.039078354835510254,0.12751965224742889,0.039276722818613052,0.034237646550502418,0.034375553353215162,0.06916131361736709,0.034680965315173402,0.073418784886598587,0.034546427428722382,0.02693217433989048,0.031189441680908203,0.02693217433989048,0.031006332486867905,0.004834323430003863,0.0016570628812318071,0.023147468205545974,0.0014684433292561207,0.086091399192810059,0.0355725958943367,9
1,10,5.2478217929601669,4.0378424003720284,50.699671942740679,22.240863731130958,0.055512321181595325,0.033833067864179611,0.024109253659844398,0.0013504251837730408,0.77585191868468339,0.10264277902397492,0.056275274604558945,0.038681618869304657,0.13583581149578094,0.040680553764104843,0.043731848274668056,0.033648686669766906,0.080094268471944202,0.035135645704788242,0.079896237701177597,0.035080492496490479,0.033813994377851486,0.029800869524478912,0.033813994377851486,0.029800869524478912,0.0054159462356504207,0.0018679781266600463,0.027369264592547782,0.0019691865619537222,0.10361257009208202,0.036480505019426346,10
